time_id,full_date,day_of_month,month_number,year_number,day_name,month_name,is_weekend,quarter,year_month
49,2020-02-18,18,2,2020,Tuesday,February,false,Q1,2020-02
50,2020-02-19,19,2,2020,Wednesday,February,false,Q1,2020-02
51,2020-02-20,20,2,2020,Thursday,February,false,Q1,2020-02
52,2020-02-21,21,2,2020,Friday,February,false,Q1,2020-02
53,2020-02-22,22,2,2020,Saturday,February,true,Q1,2020-02
54,2020-02-23,23,2,2020,Sunday,February,true,Q1,2020-02
55,2020-02-24,24,2,2020,Monday,February,false,Q1,2020-02
56,2020-02-25,25,2,2020,Tuesday,February,false,Q1,2020-02
57,2020-02-26,26,2,2020,Wednesday,February,false,Q1,2020-02
58,2020-02-27,27,2,2020,Thursday,February,false,Q1,2020-02
59,2020-02-28,28,2,2020,Friday,February,false,Q1,2020-02
60,2020-02-29,29,2,2020,Saturday,February,true,Q1,2020-02
61,2020-03-01,1,3,2020,Sunday,March,true,Q1,2020-03
62,2020-03-02,2,3,2020,Monday,March,false,Q1,2020-03
63,2020-03-03,3,3,2020,Tuesday,March,false,Q1,2020-03
64,2020-03-04,4,3,2020,Wednesday,March,false,Q1,2020-03
65,2020-03-05,5,3,2020,Thursday,March,false,Q1,2020-03
66,2020-03-06,6,3,2020,Friday,March,false,Q1,2020-03
67,2020-03-07,7,3,2020,Saturday,March,true,Q1,2020-03
68,2020-03-08,8,3,2020,Sunday,March,true,Q1,2020-03
69,2020-03-09,9,3,2020,Monday,March,false,Q1,2020-03
70,2020-03-10,10,3,2020,Tuesday,March,false,Q1,2020-03
71,2020-03-11,11,3,2020,Wednesday,March,false,Q1,2020-03
72,2020-03-12,12,3,2020,Thursday,March,false,Q1,2020-03
73,2020-03-13,13,3,2020,Friday,March,false,Q1,2020-03
74,2020-03-14,14,3,2020,Saturday,March,true,Q1,2020-03
75,2020-03-15,15,3,2020,Sunday,March,true,Q1,2020-03
76,2020-03-16,16,3,2020,Monday,March,false,Q1,2020-03
77,2020-03-17,17,3,2020,Tuesday,March,false,Q1,2020-03
78,2020-03-18,18,3,2020,Wednesday,March,false,Q1,2020-03
79,2020-03-19,19,3,2020,Thursday,March,false,Q1,2020-03
80,2020-03-20,20,3,2020,Friday,March,false,Q1,2020-03
81,2020-03-21,21,3,2020,Saturday,March,true,Q1,2020-03
82,2020-03-22,22,3,2020,Sunday,March,true,Q1,2020-03
83,2020-03-23,23,3,2020,Monday,March,false,Q1,2020-03
84,2020-03-24,24,3,2020,Tuesday,March,false,Q1,2020-03
85,2020-03-25,25,3,2020,Wednesday,March,false,Q1,2020-03
86,2020-03-26,26,3,2020,Thursday,March,false,Q1,2020-03
87,2020-03-27,27,3,2020,Friday,March,false,Q1,2020-03
88,2020-03-28,28,3,2020,Saturday,March,true,Q1,2020-03
89,2020-03-29,29,3,2020,Sunday,March,true,Q1,2020-03
90,2020-03-30,30,3,2020,Monday,March,false,Q1,2020-03
91,2020-03-31,31,3,2020,Tuesday,March,false,Q1,2020-03
92,2020-04-01,1,4,2020,Wednesday,April,false,Q2,2020-04
93,2020-04-02,2,4,2020,Thursday,April,false,Q2,2020-04
94,2020-04-03,3,4,2020,Friday,April,false,Q2,2020-04
95,2020-04-04,4,4,2020,Saturday,April,true,Q2,2020-04
96,2020-04-05,5,4,2020,Sunday,April,true,Q2,2020-04
97,2020-04-06,6,4,2020,Monday,April,false,Q2,2020-04
98,2020-04-07,7,4,2020,Tuesday,April,false,Q2,2020-04
99,2020-04-08,8,4,2020,Wednesday,April,false,Q2,2020-04
100,2020-04-09,9,4,2020,Thursday,April,false,Q2,2020-04
101,2020-04-10,10,4,2020,Friday,April,false,Q2,2020-04
102,2020-04-11,11,4,2020,Saturday,April,true,Q2,2020-04
103,2020-04-12,12,4,2020,Sunday,April,true,Q2,2020-04
104,2020-04-13,13,4,2020,Monday,April,false,Q2,2020-04
105,2020-04-14,14,4,2020,Tuesday,April,false,Q2,2020-04
106,2020-04-15,15,4,2020,Wednesday,April,false,Q2,2020-04
107,2020-04-16,16,4,2020,Thursday,April,false,Q2,2020-04
108,2020-04-17,17,4,2020,Friday,April,false,Q2,2020-04
109,2020-04-18,18,4,2020,Saturday,April,true,Q2,2020-04
110,2020-04-19,19,4,2020,Sunday,April,true,Q2,2020-04
111,2020-04-20,20,4,2020,Monday,April,false,Q2,2020-04
112,2020-04-21,21,4,2020,Tuesday,April,false,Q2,2020-04
113,2020-04-22,22,4,2020,Wednesday,April,false,Q2,2020-04
114,2020-04-23,23,4,2020,Thursday,April,false,Q2,2020-04
115,2020-04-24,24,4,2020,Friday,April,false,Q2,2020-04
116,2020-04-25,25,4,2020,Saturday,April,true,Q2,2020-04
117,2020-04-26,26,4,2020,Sunday,April,true,Q2,2020-04
118,2020-04-27,27,4,2020,Monday,April,false,Q2,2020-04
119,2020-04-28,28,4,2020,Tuesday,April,false,Q2,2020-04
120,2020-04-29,29,4,2020,Wednesday,April,false,Q2,2020-04
121,2020-04-30,30,4,2020,Thursday,April,false,Q2,2020-04
122,2020-05-01,1,5,2020,Friday,May,false,Q2,2020-05
123,2020-05-02,2,5,2020,Saturday,May,true,Q2,2020-05
124,2020-05-03,3,5,2020,Sunday,May,true,Q2,2020-05
125,2020-05-04,4,5,2020,Monday,May,false,Q2,2020-05
126,2020-05-05,5,5,2020,Tuesday,May,false,Q2,2020-05
127,2020-05-06,6,5,2020,Wednesday,May,false,Q2,2020-05
128,2020-05-07,7,5,2020,Thursday,May,false,Q2,2020-05
129,2020-05-08,8,5,2020,Friday,May,false,Q2,2020-05
130,2020-05-09,9,5,2020,Saturday,May,true,Q2,2020-05
131,2020-05-10,10,5,2020,Sunday,May,true,Q2,2020-05
132,2020-05-11,11,5,2020,Monday,May,false,Q2,2020-05
133,2020-05-12,12,5,2020,Tuesday,May,false,Q2,2020-05
134,2020-05-13,13,5,2020,Wednesday,May,false,Q2,2020-05
135,2020-05-14,14,5,2020,Thursday,May,false,Q2,2020-05
136,2020-05-15,15,5,2020,Friday,May,false,Q2,2020-05
137,2020-05-16,16,5,2020,Saturday,May,true,Q2,2020-05
138,2020-05-17,17,5,2020,Sunday,May,true,Q2,2020-05
139,2020-05-18,18,5,2020,Monday,May,false,Q2,2020-05
140,2020-05-19,19,5,2020,Tuesday,May,false,Q2,2020-05
141,2020-05-20,20,5,2020,Wednesday,May,false,Q2,2020-05
142,2020-05-21,21,5,2020,Thursday,May,false,Q2,2020-05
143,2020-05-22,22,5,2020,Friday,May,false,Q2,2020-05
144,2020-05-23,23,5,2020,Saturday,May,true,Q2,2020-05
145,2020-05-24,24,5,2020,Sunday,May,true,Q2,2020-05
146,2020-05-25,25,5,2020,Monday,May,false,Q2,2020-05
147,2020-05-26,26,5,2020,Tuesday,May,false,Q2,2020-05
148,2020-05-27,27,5,2020,Wednesday,May,false,Q2,2020-05
149,2020-05-28,28,5,2020,Thursday,May,false,Q2,2020-05
150,2020-05-29,29,5,2020,Friday,May,false,Q2,2020-05
151,2020-05-30,30,5,2020,Saturday,May,true,Q2,2020-05
152,2020-05-31,31,5,2020,Sunday,May,true,Q2,2020-05
153,2020-06-01,1,6,2020,Monday,June,false,Q2,2020-06
154,2020-06-02,2,6,2020,Tuesday,June,false,Q2,2020-06
155,2020-06-03,3,6,2020,Wednesday,June,false,Q2,2020-06
156,2020-06-04,4,6,2020,Thursday,June,false,Q2,2020-06
157,2020-06-05,5,6,2020,Friday,June,false,Q2,2020-06
158,2020-06-06,6,6,2020,Saturday,June,true,Q2,2020-06
159,2020-06-07,7,6,2020,Sunday,June,true,Q2,2020-06
160,2020-06-08,8,6,2020,Monday,June,false,Q2,2020-06
161,2020-06-09,9,6,2020,Tuesday,June,false,Q2,2020-06
162,2020-06-10,10,6,2020,Wednesday,June,false,Q2,2020-06
163,2020-06-11,11,6,2020,Thursday,June,false,Q2,2020-06
164,2020-06-12,12,6,2020,Friday,June,false,Q2,2020-06
165,2020-06-13,13,6,2020,Saturday,June,true,Q2,2020-06
166,2020-06-14,14,6,2020,Sunday,June,true,Q2,2020-06
167,2020-06-15,15,6,2020,Monday,June,false,Q2,2020-06
168,2020-06-16,16,6,2020,Tuesday,June,false,Q2,2020-06
169,2020-06-17,17,6,2020,Wednesday,June,false,Q2,2020-06
170,2020-06-18,18,6,2020,Thursday,June,false,Q2,2020-06
171,2020-06-19,19,6,2020,Friday,June,false,Q2,2020-06
172,2020-06-20,20,6,2020,Saturday,June,true,Q2,2020-06
173,2020-06-21,21,6,2020,Sunday,June,true,Q2,2020-06
174,2020-06-22,22,6,2020,Monday,June,false,Q2,2020-06
175,2020-06-23,23,6,2020,Tuesday,June,false,Q2,2020-06
176,2020-06-24,24,6,2020,Wednesday,June,false,Q2,2020-06
177,2020-06-25,25,6,2020,Thursday,June,false,Q2,2020-06
178,2020-06-26,26,6,2020,Friday,June,false,Q2,2020-06
179,2020-06-27,27,6,2020,Saturday,June,true,Q2,2020-06
180,2020-06-28,28,6,2020,Sunday,June,true,Q2,2020-06
181,2020-06-29,29,6,2020,Monday,June,false,Q2,2020-06
182,2020-06-30,30,6,2020,Tuesday,June,false,Q2,2020-06
183,2020-07-01,1,7,2020,Wednesday,July,false,Q3,2020-07
184,2020-07-02,2,7,2020,Thursday,July,false,Q3,2020-07
185,2020-07-03,3,7,2020,Friday,July,false,Q3,2020-07
186,2020-07-04,4,7,2020,Saturday,July,true,Q3,2020-07
187,2020-07-05,5,7,2020,Sunday,July,true,Q3,2020-07
188,2020-07-06,6,7,2020,Monday,July,false,Q3,2020-07
189,2020-07-07,7,7,2020,Tuesday,July,false,Q3,2020-07
190,2020-07-08,8,7,2020,Wednesday,July,false,Q3,2020-07
191,2020-07-09,9,7,2020,Thursday,July,false,Q3,2020-07
192,2020-07-10,10,7,2020,Friday,July,false,Q3,2020-07
193,2020-07-11,11,7,2020,Saturday,July,true,Q3,2020-07
194,2020-07-12,12,7,2020,Sunday,July,true,Q3,2020-07
195,2020-07-13,13,7,2020,Monday,July,false,Q3,2020-07
196,2020-07-14,14,7,2020,Tuesday,July,false,Q3,2020-07
197,2020-07-15,15,7,2020,Wednesday,July,false,Q3,2020-07
198,2020-07-16,16,7,2020,Thursday,July,false,Q3,2020-07
199,2020-07-17,17,7,2020,Friday,July,false,Q3,2020-07
200,2020-07-18,18,7,2020,Saturday,July,true,Q3,2020-07
201,2020-07-19,19,7,2020,Sunday,July,true,Q3,2020-07
202,2020-07-20,20,7,2020,Monday,July,false,Q3,2020-07
203,2020-07-21,21,7,2020,Tuesday,July,false,Q3,2020-07
204,2020-07-22,22,7,2020,Wednesday,July,false,Q3,2020-07
205,2020-07-23,23,7,2020,Thursday,July,false,Q3,2020-07
206,2020-07-24,24,7,2020,Friday,July,false,Q3,2020-07
207,2020-07-25,25,7,2020,Saturday,July,true,Q3,2020-07
208,2020-07-26,26,7,2020,Sunday,July,true,Q3,2020-07
209,2020-07-27,27,7,2020,Monday,July,false,Q3,2020-07
210,2020-07-28,28,7,2020,Tuesday,July,false,Q3,2020-07
211,2020-07-29,29,7,2020,Wednesday,July,false,Q3,2020-07
212,2020-07-30,30,7,2020,Thursday,July,false,Q3,2020-07
213,2020-07-31,31,7,2020,Friday,July,false,Q3,2020-07
214,2020-08-01,1,8,2020,Saturday,August,true,Q3,2020-08
215,2020-08-02,2,8,2020,Sunday,August,true,Q3,2020-08
216,2020-08-03,3,8,2020,Monday,August,false,Q3,2020-08
217,2020-08-04,4,8,2020,Tuesday,August,false,Q3,2020-08
218,2020-08-05,5,8,2020,Wednesday,August,false,Q3,2020-08
219,2020-08-06,6,8,2020,Thursday,August,false,Q3,2020-08
220,2020-08-07,7,8,2020,Friday,August,false,Q3,2020-08
221,2020-08-08,8,8,2020,Saturday,August,true,Q3,2020-08
222,2020-08-09,9,8,2020,Sunday,August,true,Q3,2020-08
223,2020-08-10,10,8,2020,Monday,August,false,Q3,2020-08
224,2020-08-11,11,8,2020,Tuesday,August,false,Q3,2020-08
225,2020-08-12,12,8,2020,Wednesday,August,false,Q3,2020-08
226,2020-08-13,13,8,2020,Thursday,August,false,Q3,2020-08
227,2020-08-14,14,8,2020,Friday,August,false,Q3,2020-08
228,2020-08-15,15,8,2020,Saturday,August,true,Q3,2020-08
229,2020-08-16,16,8,2020,Sunday,August,true,Q3,2020-08
230,2020-08-17,17,8,2020,Monday,August,false,Q3,2020-08
231,2020-08-18,18,8,2020,Tuesday,August,false,Q3,2020-08
232,2020-08-19,19,8,2020,Wednesday,August,false,Q3,2020-08
233,2020-08-20,20,8,2020,Thursday,August,false,Q3,2020-08
234,2020-08-21,21,8,2020,Friday,August,false,Q3,2020-08
235,2020-08-22,22,8,2020,Saturday,August,true,Q3,2020-08
236,2020-08-23,23,8,2020,Sunday,August,true,Q3,2020-08
237,2020-08-24,24,8,2020,Monday,August,false,Q3,2020-08
238,2020-08-25,25,8,2020,Tuesday,August,false,Q3,2020-08
239,2020-08-26,26,8,2020,Wednesday,August,false,Q3,2020-08
240,2020-08-27,27,8,2020,Thursday,August,false,Q3,2020-08
241,2020-08-28,28,8,2020,Friday,August,false,Q3,2020-08
242,2020-08-29,29,8,2020,Saturday,August,true,Q3,2020-08
243,2020-08-30,30,8,2020,Sunday,August,true,Q3,2020-08
244,2020-08-31,31,8,2020,Monday,August,false,Q3,2020-08
245,2020-09-01,1,9,2020,Tuesday,September,false,Q3,2020-09
246,2020-09-02,2,9,2020,Wednesday,September,false,Q3,2020-09
247,2020-09-03,3,9,2020,Thursday,September,false,Q3,2020-09
248,2020-09-04,4,9,2020,Friday,September,false,Q3,2020-09
249,2020-09-05,5,9,2020,Saturday,September,true,Q3,2020-09
250,2020-09-06,6,9,2020,Sunday,September,true,Q3,2020-09
251,2020-09-07,7,9,2020,Monday,September,false,Q3,2020-09
252,2020-09-08,8,9,2020,Tuesday,September,false,Q3,2020-09
253,2020-09-09,9,9,2020,Wednesday,September,false,Q3,2020-09
254,2020-09-10,10,9,2020,Thursday,September,false,Q3,2020-09
255,2020-09-11,11,9,2020,Friday,September,false,Q3,2020-09
256,2020-09-12,12,9,2020,Saturday,September,true,Q3,2020-09
257,2020-09-13,13,9,2020,Sunday,September,true,Q3,2020-09
258,2020-09-14,14,9,2020,Monday,September,false,Q3,2020-09
259,2020-09-15,15,9,2020,Tuesday,September,false,Q3,2020-09
260,2020-09-16,16,9,2020,Wednesday,September,false,Q3,2020-09
261,2020-09-17,17,9,2020,Thursday,September,false,Q3,2020-09
262,2020-09-18,18,9,2020,Friday,September,false,Q3,2020-09
263,2020-09-19,19,9,2020,Saturday,September,true,Q3,2020-09
264,2020-09-20,20,9,2020,Sunday,September,true,Q3,2020-09
265,2020-09-21,21,9,2020,Monday,September,false,Q3,2020-09
266,2020-09-22,22,9,2020,Tuesday,September,false,Q3,2020-09
267,2020-09-23,23,9,2020,Wednesday,September,false,Q3,2020-09
268,2020-09-24,24,9,2020,Thursday,September,false,Q3,2020-09
269,2020-09-25,25,9,2020,Friday,September,false,Q3,2020-09
270,2020-09-26,26,9,2020,Saturday,September,true,Q3,2020-09
271,2020-09-27,27,9,2020,Sunday,September,true,Q3,2020-09
272,2020-09-28,28,9,2020,Monday,September,false,Q3,2020-09
273,2020-09-29,29,9,2020,Tuesday,September,false,Q3,2020-09
274,2020-09-30,30,9,2020,Wednesday,September,false,Q3,2020-09
275,2020-10-01,1,10,2020,Thursday,October,false,Q4,2020-10
276,2020-10-02,2,10,2020,Friday,October,false,Q4,2020-10
277,2020-10-03,3,10,2020,Saturday,October,true,Q4,2020-10
278,2020-10-04,4,10,2020,Sunday,October,true,Q4,2020-10
279,2020-10-05,5,10,2020,Monday,October,false,Q4,2020-10
280,2020-10-06,6,10,2020,Tuesday,October,false,Q4,2020-10
281,2020-10-07,7,10,2020,Wednesday,October,false,Q4,2020-10
282,2020-10-08,8,10,2020,Thursday,October,false,Q4,2020-10
283,2020-10-09,9,10,2020,Friday,October,false,Q4,2020-10
284,2020-10-10,10,10,2020,Saturday,October,true,Q4,2020-10
285,2020-10-11,11,10,2020,Sunday,October,true,Q4,2020-10
286,2020-10-12,12,10,2020,Monday,October,false,Q4,2020-10
287,2020-10-13,13,10,2020,Tuesday,October,false,Q4,2020-10
288,2020-10-14,14,10,2020,Wednesday,October,false,Q4,2020-10
289,2020-10-15,15,10,2020,Thursday,October,false,Q4,2020-10
290,2020-10-16,16,10,2020,Friday,October,false,Q4,2020-10
291,2020-10-17,17,10,2020,Saturday,October,true,Q4,2020-10
292,2020-10-18,18,10,2020,Sunday,October,true,Q4,2020-10
293,2020-10-19,19,10,2020,Monday,October,false,Q4,2020-10
294,2020-10-20,20,10,2020,Tuesday,October,false,Q4,2020-10
295,2020-10-21,21,10,2020,Wednesday,October,false,Q4,2020-10
296,2020-10-22,22,10,2020,Thursday,October,false,Q4,2020-10
297,2020-10-23,23,10,2020,Friday,October,false,Q4,2020-10
298,2020-10-24,24,10,2020,Saturday,October,true,Q4,2020-10
299,2020-10-25,25,10,2020,Sunday,October,true,Q4,2020-10
300,2020-10-26,26,10,2020,Monday,October,false,Q4,2020-10
301,2020-10-27,27,10,2020,Tuesday,October,false,Q4,2020-10
302,2020-10-28,28,10,2020,Wednesday,October,false,Q4,2020-10
303,2020-10-29,29,10,2020,Thursday,October,false,Q4,2020-10
304,2020-10-30,30,10,2020,Friday,October,false,Q4,2020-10
305,2020-10-31,31,10,2020,Saturday,October,true,Q4,2020-10
306,2020-11-01,1,11,2020,Sunday,November,true,Q4,2020-11
307,2020-11-02,2,11,2020,Monday,November,false,Q4,2020-11
308,2020-11-03,3,11,2020,Tuesday,November,false,Q4,2020-11
309,2020-11-04,4,11,2020,Wednesday,November,false,Q4,2020-11
310,2020-11-05,5,11,2020,Thursday,November,false,Q4,2020-11
311,2020-11-06,6,11,2020,Friday,November,false,Q4,2020-11
312,2020-11-07,7,11,2020,Saturday,November,true,Q4,2020-11
313,2020-11-08,8,11,2020,Sunday,November,true,Q4,2020-11
314,2020-11-09,9,11,2020,Monday,November,false,Q4,2020-11
315,2020-11-10,10,11,2020,Tuesday,November,false,Q4,2020-11
316,2020-11-11,11,11,2020,Wednesday,November,false,Q4,2020-11
317,2020-11-12,12,11,2020,Thursday,November,false,Q4,2020-11
318,2020-11-13,13,11,2020,Friday,November,false,Q4,2020-11
319,2020-11-14,14,11,2020,Saturday,November,true,Q4,2020-11
320,2020-11-15,15,11,2020,Sunday,November,true,Q4,2020-11
321,2020-11-16,16,11,2020,Monday,November,false,Q4,2020-11
322,2020-11-17,17,11,2020,Tuesday,November,false,Q4,2020-11
323,2020-11-18,18,11,2020,Wednesday,November,false,Q4,2020-11
324,2020-11-19,19,11,2020,Thursday,November,false,Q4,2020-11
325,2020-11-20,20,11,2020,Friday,November,false,Q4,2020-11
326,2020-11-21,21,11,2020,Saturday,November,true,Q4,2020-11
327,2020-11-22,22,11,2020,Sunday,November,true,Q4,2020-11
328,2020-11-23,23,11,2020,Monday,November,false,Q4,2020-11
329,2020-11-24,24,11,2020,Tuesday,November,false,Q4,2020-11
330,2020-11-25,25,11,2020,Wednesday,November,false,Q4,2020-11
331,2020-11-26,26,11,2020,Thursday,November,false,Q4,2020-11
332,2020-11-27,27,11,2020,Friday,November,false,Q4,2020-11
333,2020-11-28,28,11,2020,Saturday,November,true,Q4,2020-11
334,2020-11-29,29,11,2020,Sunday,November,true,Q4,2020-11
335,2020-11-30,30,11,2020,Monday,November,false,Q4,2020-11
336,2020-12-01,1,12,2020,Tuesday,December,false,Q4,2020-12
337,2020-12-02,2,12,2020,Wednesday,December,false,Q4,2020-12
338,2020-12-03,3,12,2020,Thursday,December,false,Q4,2020-12
339,2020-12-04,4,12,2020,Friday,December,false,Q4,2020-12
340,2020-12-05,5,12,2020,Saturday,December,true,Q4,2020-12
341,2020-12-06,6,12,2020,Sunday,December,true,Q4,2020-12
342,2020-12-07,7,12,2020,Monday,December,false,Q4,2020-12
343,2020-12-08,8,12,2020,Tuesday,December,false,Q4,2020-12
344,2020-12-09,9,12,2020,Wednesday,December,false,Q4,2020-12
345,2020-12-10,10,12,2020,Thursday,December,false,Q4,2020-12
346,2020-12-11,11,12,2020,Friday,December,false,Q4,2020-12
347,2020-12-12,12,12,2020,Saturday,December,true,Q4,2020-12
348,2020-12-13,13,12,2020,Sunday,December,true,Q4,2020-12
349,2020-12-14,14,12,2020,Monday,December,false,Q4,2020-12
350,2020-12-15,15,12,2020,Tuesday,December,false,Q4,2020-12
351,2020-12-16,16,12,2020,Wednesday,December,false,Q4,2020-12
352,2020-12-17,17,12,2020,Thursday,December,false,Q4,2020-12
353,2020-12-18,18,12,2020,Friday,December,false,Q4,2020-12
354,2020-12-19,19,12,2020,Saturday,December,true,Q4,2020-12
355,2020-12-20,20,12,2020,Sunday,December,true,Q4,2020-12
356,2020-12-21,21,12,2020,Monday,December,false,Q4,2020-12
357,2020-12-22,22,12,2020,Tuesday,December,false,Q4,2020-12
358,2020-12-23,23,12,2020,Wednesday,December,false,Q4,2020-12
359,2020-12-24,24,12,2020,Thursday,December,false,Q4,2020-12
360,2020-12-25,25,12,2020,Friday,December,false,Q4,2020-12
361,2020-12-26,26,12,2020,Saturday,December,true,Q4,2020-12
362,2020-12-27,27,12,2020,Sunday,December,true,Q4,2020-12
363,2020-12-28,28,12,2020,Monday,December,false,Q4,2020-12
364,2020-12-29,29,12,2020,Tuesday,December,false,Q4,2020-12
365,2020-12-30,30,12,2020,Wednesday,December,false,Q4,2020-12
366,2020-12-31,31,12,2020,Thursday,December,false,Q4,2020-12
367,2021-01-01,1,1,2021,Friday,January,false,Q1,2021-01
368,2021-01-02,2,1,2021,Saturday,January,true,Q1,2021-01
369,2021-01-03,3,1,2021,Sunday,January,true,Q1,2021-01
370,2021-01-04,4,1,2021,Monday,January,false,Q1,2021-01
371,2021-01-05,5,1,2021,Tuesday,January,false,Q1,2021-01
372,2021-01-06,6,1,2021,Wednesday,January,false,Q1,2021-01
373,2021-01-07,7,1,2021,Thursday,January,false,Q1,2021-01
374,2021-01-08,8,1,2021,Friday,January,false,Q1,2021-01
375,2021-01-09,9,1,2021,Saturday,January,true,Q1,2021-01
376,2021-01-10,10,1,2021,Sunday,January,true,Q1,2021-01
377,2021-01-11,11,1,2021,Monday,January,false,Q1,2021-01
378,2021-01-12,12,1,2021,Tuesday,January,false,Q1,2021-01
379,2021-01-13,13,1,2021,Wednesday,January,false,Q1,2021-01
380,2021-01-14,14,1,2021,Thursday,January,false,Q1,2021-01
381,2021-01-15,15,1,2021,Friday,January,false,Q1,2021-01
382,2021-01-16,16,1,2021,Saturday,January,true,Q1,2021-01
383,2021-01-17,17,1,2021,Sunday,January,true,Q1,2021-01
384,2021-01-18,18,1,2021,Monday,January,false,Q1,2021-01
385,2021-01-19,19,1,2021,Tuesday,January,false,Q1,2021-01
386,2021-01-20,20,1,2021,Wednesday,January,false,Q1,2021-01
387,2021-01-21,21,1,2021,Thursday,January,false,Q1,2021-01
388,2021-01-22,22,1,2021,Friday,January,false,Q1,2021-01
389,2021-01-23,23,1,2021,Saturday,January,true,Q1,2021-01
390,2021-01-24,24,1,2021,Sunday,January,true,Q1,2021-01
391,2021-01-25,25,1,2021,Monday,January,false,Q1,2021-01
392,2021-01-26,26,1,2021,Tuesday,January,false,Q1,2021-01
393,2021-01-27,27,1,2021,Wednesday,January,false,Q1,2021-01
394,2021-01-28,28,1,2021,Thursday,January,false,Q1,2021-01
395,2021-01-29,29,1,2021,Friday,January,false,Q1,2021-01
396,2021-01-30,30,1,2021,Saturday,January,true,Q1,2021-01
397,2021-01-31,31,1,2021,Sunday,January,true,Q1,2021-01
398,2021-02-01,1,2,2021,Monday,February,false,Q1,2021-02
399,2021-02-02,2,2,2021,Tuesday,February,false,Q1,2021-02
400,2021-02-03,3,2,2021,Wednesday,February,false,Q1,2021-02
401,2021-02-04,4,2,2021,Thursday,February,false,Q1,2021-02
402,2021-02-05,5,2,2021,Friday,February,false,Q1,2021-02
403,2021-02-06,6,2,2021,Saturday,February,true,Q1,2021-02
404,2021-02-07,7,2,2021,Sunday,February,true,Q1,2021-02
405,2021-02-08,8,2,2021,Monday,February,false,Q1,2021-02
406,2021-02-09,9,2,2021,Tuesday,February,false,Q1,2021-02
407,2021-02-10,10,2,2021,Wednesday,February,false,Q1,2021-02
408,2021-02-11,11,2,2021,Thursday,February,false,Q1,2021-02
409,2021-02-12,12,2,2021,Friday,February,false,Q1,2021-02
